ID_DESARROLLADOR,Nombre Desarrollador
DES_0211,Gathering of Developers
DES_0212,NewKidCo
DES_0213,Marvelous Interactive
DES_0214,Storm City Games
DES_0215,CokeM Interactive
DES_0216,P2 Games
DES_0217,CBS Electronics
DES_0218,Home Entertainment Suppliers
DES_0219,Magix
DES_0220,Arc System Works
DES_0221,Angel Studios
DES_0222,Wargaming.net
DES_0223,Playmates
DES_0224,SNK Playmore
DES_0225,Hamster Corporation
DES_0226,From Software
DES_0227,Nippon Columbia
DES_0228,Nichibutsu
DES_0229,Conspiracy Entertainment
DES_0230,Hect
DES_0231,Mumbo Jumbo
DES_0232,DTP Entertainment
DES_0233,Pacific Century Cyber Works
DES_0234,Indie Games
DES_0235,Liquid Games
DES_0236,NEC
DES_0237,Axela
DES_0238,ArtDink
DES_0239,Sunsoft
DES_0240,Little Orbit
DES_0241,FuRyu
DES_0242,Gust
DES_0243,SNK
DES_0244,NEC Interchannel
DES_0245,Nihon Falcom Corporation
DES_0246,Xing Entertainment
DES_0247,ValuSoft
DES_0248,Victor Interactive
DES_0249,American Softworks
DES_0250,Falcom Corporation
DES_0251,Detn8 Games
DES_0252,Bomb
DES_0253,Nordcurrent
DES_0254,Milestone S.r.l.
DES_0255,AQ Interactive
DES_0256,Sears
DES_0257,Seta Corporation
DES_0258,On Demand
DES_0259,CCP
DES_0260,NCS
DES_0261,Rebellion Developments
DES_0262,Agatsuma Entertainment
DES_0263,Gremlin Interactive Ltd
DES_0264,Aspyr
DES_0265,Compile Heart
DES_0266,Culture Brain
DES_0267,Mad Catz
DES_0268,Shogakukan
DES_0269,Merscom LLC
DES_0270,JoWood Productions
DES_0271,Nippon Telenet
DES_0272,TDK Core
DES_0273,Kadokawa Games
DES_0274,SSI
DES_0275,Foreign Media Games
DES_0276,Core Design Ltd.
DES_0277,bitComposer Games
DES_0278,Astragon
DES_0279,Asylum Entertainment
DES_0280,Performance Designed Products
DES_0281,UFO Interactive
DES_0282,Essential Games
DES_0283,Adeline Software
DES_0284,Funcom
DES_0285,PlayV
DES_0286,Panther Software
DES_0287,Blast! Entertainment Ltd
DES_0288,Playlogic Game Factory
DES_0289,DSI Games
DES_0290,Avalon Interactive
DES_0291,Game Life
DES_0292,Popcorn Arcade
DES_0293,Aques
DES_0294,System 3
DES_0295,Syscom
DES_0296,Vir2L Studios
DES_0297,Vatical Entertainment
DES_0298,Neko Entertainment
DES_0299,White Park Bay Software
DES_0300,Vic Tokai
DES_0301,Media Factory
DES_0302,Daedalic
DES_0303,Game Arts
DES_0304,The Adventure Company
DES_0305,EA Games
DES_0306,Acquire
DES_0307,Broccoli
DES_0308,General Entertainment
DES_0309,Paradox Interactive
DES_0310,Yacht Club Games
DES_0311,Imadio
DES_0312,Swing! Entertainment
DES_0313,Sony Music Entertainment
DES_0314,Aqua Plus
DES_0315,Excalibur Publishing
DES_0316,Hip Interactive
DES_0317,Tripwire Interactive
DES_0318,DreamCatcher Interactive
DES_0319,SCS Software
DES_0320,Havas Interactive
DES_0321,Sting
DES_0322,Idea Factory
DES_0323,Telstar
DES_0324,U.S. Gold
DES_0325,Funsta
DES_0326,DreamWorks Interactive
DES_0327,Slitherine Software
DES_0328,MTO
DES_0329,Graffiti
DES_0330,Tru Blu Entertainment
DES_0331,DHM Interactive
DES_0332,Crytek
DES_0333,FunSoft
DES_0334,Data Design Interactive
DES_0335,SPS
DES_0336,Moss
DES_0337,T&E Soft
DES_0338,NDA Productions
DES_0339,Bigben Interactive
DES_0340,Data East
DES_0341,Idea Factory International
DES_0342,Time Warner Interactive
DES_0343,Gainax Network Systems
DES_0344,Daito
DES_0345,O3 Entertainment
DES_0346,O-Games
DES_0347,Gameloft
DES_0348,Xicat Interactive
DES_0349,Simon & Schuster Interactive
DES_0350,Valcon Games
DES_0351,PopTop Software
DES_0352,TOHO
DES_0353,PM Studios
DES_0354,Bohemia Interactive
DES_0355,Reef Entertainment
DES_0356,5pb
DES_0357,HMH Interactive
DES_0358,inXile Entertainment
DES_0359,Cave
DES_0360,Microids
DES_0361,Paon
DES_0362,CDV Software Entertainment
DES_0363,Micro Cabin
DES_0364,GameTek
DES_0365,Benesse
DES_0366,Type-Moon
DES_0367,Enjoy Gaming ltd.
DES_0368,Asmik Corp
DES_0369,Interplay Productions
DES_0370,Asmik Ace Entertainment
DES_0371,Image Epoch
DES_0372,Phantom EFX
DES_0373,Evolved Games
DES_0374,responDESIGN
DES_0375,Griffin International
DES_0376,Culture Publishers
DES_0377,Hackberry
DES_0378,Hearty Robin
DES_0379,Nippon Amuse
DES_0380,Origin Systems
DES_0381,Seventh Chord
DES_0382,Abylight
DES_0383,Mitsui
DES_0384,Insomniac Games
DES_0385,Flight-Plan
DES_0386,Milestone
DES_0387,Glams
DES_0388,Aksys Games
DES_0389,Locus
DES_0390,Warp
DES_0391,Irem Software Engineering
DES_0392,Myelin Media
DES_0393,Global A Entertainment
DES_0394,Alternative Software
DES_0395,Mercury Games
DES_0396,Sunrise Interactive
DES_0397,Elite
DES_0398,Evolution Games
DES_0399,Daedalic Entertainment
DES_0400,Edia
DES_0401,Athena
DES_0402,Aria
DES_0403,Tivola
DES_0404,Happinet
DES_0405,Tommo
DES_0406,Altron
DES_0407,Revolution Software
DES_0408,Media Works
DES_0409,Fortyfive
DES_0410,Gamecock
DES_0411,Imax
DES_0412,10TACLE Studios
DES_0413,Groove Games
DES_0414,Pack-In-Video
DES_0415,Crimson Cow
DES_0416,iWin
DES_0417,Asgard
DES_0418,Ecole
DES_0419,Yumedia
DES_0420,Ascaron Entertainment GmbH
DES_0421,HAL Laboratory
DES_0422,Phenomedia
DES_0423,Grand Prix Games
DES_0424,DigiCube
DES_0425,Creative Core
DES_0426,Kaga Create
DES_0427,WayForward Technologies
