,ID_VIDEOJUEGO,Nombre Videojuego,Año Publicación,Género,Siglas Consola,Nombre Consola,Familia Consolas,Ventas Total,Puntaje Críticos,Puntaje Usuarios,Rating
4099,VID_004519,Green Day: Rock Band,2010,Misc,X360,Xbox 360,XBox (Microsoft),410000,75.0,66.0,T
4100,VID_004522,Battlefield 2: Modern Combat,2006,Shooter,X360,Xbox 360,XBox (Microsoft),410000,77.0,73.0,T
4101,VID_004526,Fantastic Pets,2011,Simulation,X360,Xbox 360,XBox (Microsoft),410000,66.0,75.0,E
4102,VID_004534,Spider-Man: Web of Shadows,2008,Action,X360,Xbox 360,XBox (Microsoft),400000,68.0,86.0,T
4103,VID_004535,Naughty Bear,2010,Action,X360,Xbox 360,XBox (Microsoft),400000,43.0,56.0,T
4105,VID_004539,Beowulf: The Game,2007,Action,X360,Xbox 360,XBox (Microsoft),400000,51.0,47.0,M
4106,VID_004555,Overlord,2007,Strategy,X360,Xbox 360,XBox (Microsoft),400000,76.0,83.0,T
4108,VID_004586,The Gunstringer,2011,Shooter,X360,Xbox 360,XBox (Microsoft),400000,77.0,81.0,T
4111,VID_004625,Tomb Raider: Anniversary,2007,Action,X360,Xbox 360,XBox (Microsoft),390000,77.0,83.0,T
4112,VID_004640,Legends of WrestleMania,2009,Fighting,X360,Xbox 360,XBox (Microsoft),390000,71.0,63.0,T
4113,VID_004654,NBA Jam,2010,Sports,X360,Xbox 360,XBox (Microsoft),390000,75.0,70.0,E
4114,VID_004665,Alpha Protocol,2010,Role-Playing,X360,Xbox 360,XBox (Microsoft),390000,63.0,72.0,M
4115,VID_004685,Star Wars The Clone Wars: Republic Heroes,2009,Action,X360,Xbox 360,XBox (Microsoft),390000,43.0,63.0,T
4116,VID_004695,The Darkness II,2012,Shooter,X360,Xbox 360,XBox (Microsoft),390000,80.0,75.0,M
4117,VID_004698,Hitman: Blood Money,2006,Action,X360,Xbox 360,XBox (Microsoft),390000,82.0,87.0,M
4118,VID_004713,EA Sports Active 2,2010,Sports,X360,Xbox 360,XBox (Microsoft),390000,68.0,54.0,E
4119,VID_004715,Red Faction: Armageddon,2011,Shooter,X360,Xbox 360,XBox (Microsoft),390000,71.0,70.0,M
4120,VID_004725,Farming Simulator 2013,2013,Simulation,X360,Xbox 360,XBox (Microsoft),380000,33.0,62.0,E
4123,VID_004832,Major League Baseball 2K6,2006,Sports,X360,Xbox 360,XBox (Microsoft),370000,66.0,39.0,E
4124,VID_004847,Trivial Pursuit,2009,Misc,X360,Xbox 360,XBox (Microsoft),370000,66.0,64.0,E
4125,VID_004848,Kingdom Under Fire: Circle of Doom,2007,Role-Playing,X360,Xbox 360,XBox (Microsoft),370000,55.0,59.0,M
4127,VID_004870,Tomb Raider: Legend,2006,Action,X360,Xbox 360,XBox (Microsoft),370000,80.0,73.0,T
4128,VID_004880,Dungeon Siege III,2011,Role-Playing,X360,Xbox 360,XBox (Microsoft),370000,72.0,59.0,T
4129,VID_004890,Wanted: Weapons of Fate,2009,Shooter,X360,Xbox 360,XBox (Microsoft),370000,62.0,75.0,M
4130,VID_004922,Tom Clancy's HAWX 2,2010,Action,X360,Xbox 360,XBox (Microsoft),360000,68.0,63.0,T
4131,VID_004939,BlazBlue: Calamity Trigger,2009,Fighting,X360,Xbox 360,XBox (Microsoft),360000,86.0,85.0,T
4132,VID_004963,Spider-Man: Shattered Dimensions,2010,Action,X360,Xbox 360,XBox (Microsoft),360000,76.0,76.0,T
4134,VID_005002,Tiger Woods PGA Tour 14,2013,Sports,X360,Xbox 360,XBox (Microsoft),350000,77.0,62.0,E
4137,VID_005039,EA Sports MMA,2010,Fighting,X360,Xbox 360,XBox (Microsoft),350000,79.0,70.0,T
4138,VID_005043,Terminator Salvation,2009,Shooter,X360,Xbox 360,XBox (Microsoft),350000,48.0,50.0,T
4140,VID_005053,MotoGP 08,2008,Racing,X360,Xbox 360,XBox (Microsoft),350000,68.0,56.0,E
4141,VID_005077,Def Jam Icon,2007,Action,X360,Xbox 360,XBox (Microsoft),340000,69.0,63.0,M
4143,VID_005092,WWE All Stars,2011,Fighting,X360,Xbox 360,XBox (Microsoft),340000,75.0,72.0,T
4144,VID_005094,Tekken Tag Tournament 2,2012,Fighting,X360,Xbox 360,XBox (Microsoft),340000,83.0,75.0,T
4145,VID_005106,Supreme Commander 2,2010,Strategy,X360,Xbox 360,XBox (Microsoft),340000,75.0,71.0,E10+
4146,VID_005124,Tenchu Z,2006,Action,X360,Xbox 360,XBox (Microsoft),340000,56.0,73.0,M
4147,VID_005134,F.E.A.R.,2006,Shooter,X360,Xbox 360,XBox (Microsoft),340000,85.0,73.0,M
4149,VID_005159,Pirates of the Caribbean: At World's End,2007,Action,X360,Xbox 360,XBox (Microsoft),340000,58.0,53.0,T
4150,VID_005181,Harry Potter and the Deathly Hallows - Part 2,2011,Action,X360,Xbox 360,XBox (Microsoft),330000,44.0,54.0,T
4151,VID_005192,The King of Fighters XIII,2011,Fighting,X360,Xbox 360,XBox (Microsoft),330000,79.0,82.0,T
4152,VID_005195,Fracture,2008,Shooter,X360,Xbox 360,XBox (Microsoft),330000,63.0,62.0,T
4153,VID_005196,Ninja Blade,2009,Action,X360,Xbox 360,XBox (Microsoft),330000,68.0,68.0,M
4154,VID_005207,Virtua Tennis 2009,2009,Sports,X360,Xbox 360,XBox (Microsoft),330000,70.0,62.0,E
4155,VID_005219,Naruto: Rise of a Ninja,2007,Action,X360,Xbox 360,XBox (Microsoft),330000,78.0,86.0,T
4156,VID_005231,Resonance of Fate,2010,Role-Playing,X360,Xbox 360,XBox (Microsoft),330000,74.0,77.0,T
4157,VID_005261,DECA Sports Freedom,2010,Sports,X360,Xbox 360,XBox (Microsoft),330000,26.0,37.0,E10+
4158,VID_005265,Golden Axe: Beast Rider,2008,Action,X360,Xbox 360,XBox (Microsoft),330000,45.0,58.0,M
4160,VID_005282,Battlestations: Pacific,2009,Strategy,X360,Xbox 360,XBox (Microsoft),320000,76.0,74.0,T
4162,VID_005295,The Black Eyed Peas Experience,2011,Misc,X360,Xbox 360,XBox (Microsoft),320000,66.0,58.0,T
4163,VID_005301,Silent Hill: Downpour,2012,Action,X360,Xbox 360,XBox (Microsoft),320000,68.0,73.0,M
4164,VID_005306,Eternal Sonata,2007,Role-Playing,X360,Xbox 360,XBox (Microsoft),320000,79.0,79.0,T
4165,VID_005308,Dead or Alive 5,2012,Fighting,X360,Xbox 360,XBox (Microsoft),320000,76.0,79.0,M
4166,VID_005311,Overlord II,2009,Action,X360,Xbox 360,XBox (Microsoft),320000,75.0,72.0,T
4167,VID_005313,Dance Dance Revolution Universe,2007,Simulation,X360,Xbox 360,XBox (Microsoft),320000,74.0,88.0,E10+
4169,VID_005319,Beautiful Katamari,2007,Puzzle,X360,Xbox 360,XBox (Microsoft),320000,73.0,70.0,E
4172,VID_005360,Prey,2006,Shooter,X360,Xbox 360,XBox (Microsoft),320000,79.0,73.0,M
4173,VID_005377,FIFA Street 3,2008,Sports,X360,Xbox 360,XBox (Microsoft),320000,63.0,69.0,E
4175,VID_005380,Test Drive Unlimited,2006,Racing,X360,Xbox 360,XBox (Microsoft),320000,82.0,80.0,E10+
4176,VID_005386,Clive Barker's Jericho,2007,Shooter,X360,Xbox 360,XBox (Microsoft),320000,63.0,74.0,M
4178,VID_005402,Crash of the Titans,2007,Action,X360,Xbox 360,XBox (Microsoft),320000,65.0,63.0,E10+
4180,VID_005413,BlazBlue: Continuum Shift,2010,Fighting,X360,Xbox 360,XBox (Microsoft),310000,85.0,87.0,T
4181,VID_005419,Harry Potter and the Half-Blood Prince,2009,Action,X360,Xbox 360,XBox (Microsoft),310000,64.0,68.0,E10+
4182,VID_005433,Catherine,2011,Adventure,X360,Xbox 360,XBox (Microsoft),310000,82.0,79.0,M
4184,VID_005452,The Legend of Spyro: Dawn of the Dragon,2008,Platform,X360,Xbox 360,XBox (Microsoft),310000,62.0,72.0,E10+
4185,VID_005457,Fuel,2009,Racing,X360,Xbox 360,XBox (Microsoft),310000,66.0,70.0,E
4186,VID_005469,Dark Void,2010,Action,X360,Xbox 360,XBox (Microsoft),310000,59.0,60.0,T
4189,VID_005493,Jonah Lomu Rugby Challenge,2011,Sports,X360,Xbox 360,XBox (Microsoft),310000,73.0,60.0,E
4190,VID_005504,Pro Evolution Soccer 2013,2012,Sports,X360,Xbox 360,XBox (Microsoft),310000,82.0,69.0,E
4191,VID_005516,TRON: Evolution,2010,Action,X360,Xbox 360,XBox (Microsoft),310000,58.0,60.0,T
4192,VID_005540,NASCAR 2011: The Game,2011,Racing,X360,Xbox 360,XBox (Microsoft),300000,62.0,41.0,E
4194,VID_005571,Magna Carta 2,2009,Role-Playing,X360,Xbox 360,XBox (Microsoft),300000,69.0,70.0,T
4195,VID_005577,F1 2013,2013,Racing,X360,Xbox 360,XBox (Microsoft),300000,79.0,66.0,E
4196,VID_005582,Final Fantasy XI: Wings of the Goddess,2007,Role-Playing,X360,Xbox 360,XBox (Microsoft),300000,63.0,58.0,T
4197,VID_005583,PowerUp Heroes,2011,Fighting,X360,Xbox 360,XBox (Microsoft),300000,61.0,75.0,E10+
4198,VID_005597,Dynasty Warriors 6,2007,Action,X360,Xbox 360,XBox (Microsoft),300000,60.0,74.0,T
4199,VID_005601,Dance Dance Revolution Universe 3,2008,Simulation,X360,Xbox 360,XBox (Microsoft),300000,65.0,77.0,E
4201,VID_005634,Harry Potter and the Order of the Phoenix,2007,Action,X360,Xbox 360,XBox (Microsoft),290000,68.0,68.0,E10+
4202,VID_005637,Spider-Man: Friend or Foe,2007,Action,X360,Xbox 360,XBox (Microsoft),290000,60.0,63.0,E10+
4203,VID_005638,Guitar Hero: Van Halen,2009,Misc,X360,Xbox 360,XBox (Microsoft),290000,57.0,58.0,T
4204,VID_005644,Def Jam Rapstar,2010,Misc,X360,Xbox 360,XBox (Microsoft),290000,74.0,54.0,T
4205,VID_005650,Mini Ninjas,2009,Action,X360,Xbox 360,XBox (Microsoft),290000,73.0,84.0,E10+
4207,VID_005665,Up,2009,Action,X360,Xbox 360,XBox (Microsoft),290000,61.0,68.0,E10+
4209,VID_005681,NieR,2010,Role-Playing,X360,Xbox 360,XBox (Microsoft),290000,67.0,83.0,M
4210,VID_005690,The Chronicles of Riddick: Assault on Dark Athena,2009,Shooter,X360,Xbox 360,XBox (Microsoft),290000,82.0,82.0,M
4211,VID_005728,Turning Point: Fall of Liberty,2008,Shooter,X360,Xbox 360,XBox (Microsoft),290000,43.0,68.0,T
4213,VID_005767,NASCAR 08,2007,Racing,X360,Xbox 360,XBox (Microsoft),290000,59.0,52.0,E
4215,VID_005811,DeathSmiles,2009,Shooter,X360,Xbox 360,XBox (Microsoft),280000,76.0,84.0,T
4216,VID_005813,Fable: The Journey,2012,Role-Playing,X360,Xbox 360,XBox (Microsoft),280000,61.0,48.0,T
4217,VID_005818,SAW,2009,Action,X360,Xbox 360,XBox (Microsoft),280000,59.0,74.0,M
4218,VID_005819,Chromehounds,2006,Simulation,X360,Xbox 360,XBox (Microsoft),280000,71.0,70.0,T
4219,VID_005835,Operation Flashpoint: Red River,2011,Shooter,X360,Xbox 360,XBox (Microsoft),280000,69.0,61.0,M
4220,VID_005836,Transformers: Dark of the Moon,2011,Action,X360,Xbox 360,XBox (Microsoft),280000,59.0,67.0,T
4223,VID_005880,Bionic Commando,2009,Platform,X360,Xbox 360,XBox (Microsoft),280000,70.0,73.0,M
4224,VID_005881,Monopoly Streets,2010,Misc,X360,Xbox 360,XBox (Microsoft),280000,66.0,66.0,E
4226,VID_005891,Rugby World Cup 2011,2011,Sports,X360,Xbox 360,XBox (Microsoft),280000,55.0,39.0,E
4227,VID_005897,Virtua Fighter 5 Online,2007,Fighting,X360,Xbox 360,XBox (Microsoft),280000,89.0,76.0,T
4228,VID_005899,Angry Birds Star Wars,2013,Strategy,X360,Xbox 360,XBox (Microsoft),280000,59.0,56.0,E
4230,VID_005944,GRID 2,2013,Racing,X360,Xbox 360,XBox (Microsoft),270000,78.0,58.0,E
4231,VID_005954,Rock Revolution,2008,Misc,X360,Xbox 360,XBox (Microsoft),270000,38.0,51.0,T
4232,VID_005955,Dead Rising 2: Off the Record,2011,Action,X360,Xbox 360,XBox (Microsoft),270000,72.0,75.0,M
4233,VID_005966,Iron Man 2,2010,Action,X360,Xbox 360,XBox (Microsoft),270000,41.0,59.0,T
4234,VID_005977,F1 Race Stars,2012,Racing,X360,Xbox 360,XBox (Microsoft),270000,64.0,57.0,E
4235,VID_005984,NHL 07,2006,Sports,X360,Xbox 360,XBox (Microsoft),270000,79.0,53.0,E10+
4236,VID_005994,The Club,2008,Shooter,X360,Xbox 360,XBox (Microsoft),270000,76.0,68.0,M
4237,VID_005997,Lightning Returns: Final Fantasy XIII,2013,Role-Playing,X360,Xbox 360,XBox (Microsoft),270000,69.0,66.0,T
4240,VID_006047,The BIGS,2007,Sports,X360,Xbox 360,XBox (Microsoft),270000,79.0,84.0,E
4242,VID_006060,R.U.S.E.,2010,Strategy,X360,Xbox 360,XBox (Microsoft),270000,78.0,70.0,T
4244,VID_006065,MotionSports: Adrenaline,2011,Sports,X360,Xbox 360,XBox (Microsoft),270000,41.0,74.0,E
4245,VID_006073,Call of Juarez: The Cartel,2011,Shooter,X360,Xbox 360,XBox (Microsoft),270000,47.0,57.0,M
4246,VID_006078,Section 8,2009,Shooter,X360,Xbox 360,XBox (Microsoft),270000,69.0,73.0,T
4247,VID_006086,All-Pro Football 2K8,2007,Sports,X360,Xbox 360,XBox (Microsoft),260000,75.0,68.0,E10+
4248,VID_006089,Plants vs. Zombies,2010,Strategy,X360,Xbox 360,XBox (Microsoft),260000,89.0,82.0,E10+
4249,VID_006096,The Incredible Hulk,2008,Action,X360,Xbox 360,XBox (Microsoft),260000,55.0,64.0,T
4250,VID_006107,Superman Returns,2006,Action,X360,Xbox 360,XBox (Microsoft),260000,51.0,62.0,T
4251,VID_006120,Deadly Premonition,2010,Action,X360,Xbox 360,XBox (Microsoft),260000,68.0,82.0,M
4252,VID_006148,Angry Birds Trilogy,2012,Action,X360,Xbox 360,XBox (Microsoft),260000,63.0,35.0,E
4253,VID_006154,Battlestations: Midway,2007,Strategy,X360,Xbox 360,XBox (Microsoft),260000,73.0,71.0,T
4254,VID_006208,Resident Evil: Revelations,2013,Action,X360,Xbox 360,XBox (Microsoft),260000,75.0,74.0,M
4255,VID_006209,Tony Hawk: Shred,2010,Sports,X360,Xbox 360,XBox (Microsoft),260000,53.0,66.0,E
4256,VID_006213,Army of Two: The Devil's Cartel,2013,Shooter,X360,Xbox 360,XBox (Microsoft),260000,54.0,62.0,M
4257,VID_006219,Legendary,2008,Shooter,X360,Xbox 360,XBox (Microsoft),260000,47.0,71.0,M
4259,VID_006263,NASCAR 09,2008,Racing,X360,Xbox 360,XBox (Microsoft),250000,69.0,78.0,E
4260,VID_006266,Game of Thrones,2012,Role-Playing,X360,Xbox 360,XBox (Microsoft),250000,52.0,52.0,M
4261,VID_006295,Dead or Alive Xtreme 2,2006,Sports,X360,Xbox 360,XBox (Microsoft),250000,53.0,67.0,M
4262,VID_006305,NHL 08,2007,Action,X360,Xbox 360,XBox (Microsoft),250000,85.0,82.0,E10+
4264,VID_006326,MotoGP '07,2007,Racing,X360,Xbox 360,XBox (Microsoft),250000,78.0,73.0,E
4265,VID_006327,Cars,2006,Racing,X360,Xbox 360,XBox (Microsoft),250000,65.0,61.0,E
4267,VID_006354,The Outfit,2006,Action,X360,Xbox 360,XBox (Microsoft),250000,70.0,75.0,M
4268,VID_006357,Don King Presents: Prizefighter,2008,Sports,X360,Xbox 360,XBox (Microsoft),250000,56.0,64.0,T
4270,VID_006366,Bolt,2008,Adventure,X360,Xbox 360,XBox (Microsoft),250000,57.0,71.0,E10+
4271,VID_006368,Spider-Man: Edge of Time,2011,Action,X360,Xbox 360,XBox (Microsoft),250000,57.0,68.0,T
4272,VID_006384,Armored Core 4,2007,Simulation,X360,Xbox 360,XBox (Microsoft),250000,65.0,72.0,T
4274,VID_006408,Family Guy: Back to the Multiverse,2012,Action,X360,Xbox 360,XBox (Microsoft),250000,39.0,50.0,M
4275,VID_006409,Ninja Gaiden 3,2012,Action,X360,Xbox 360,XBox (Microsoft),250000,58.0,44.0,M
4276,VID_006432,Far Cry Instincts Predator,2006,Shooter,X360,Xbox 360,XBox (Microsoft),240000,78.0,62.0,M
4279,VID_006482,Dynasty Warriors 7,2011,Action,X360,Xbox 360,XBox (Microsoft),240000,58.0,80.0,T
4280,VID_006497,Asura's Wrath,2012,Action,X360,Xbox 360,XBox (Microsoft),240000,71.0,65.0,T
4281,VID_006512,Bakugan: Battle Brawlers,2009,Action,X360,Xbox 360,XBox (Microsoft),240000,60.0,52.0,E
4283,VID_006528,The Adventures of Tintin: The Game,2011,Action,X360,Xbox 360,XBox (Microsoft),240000,63.0,61.0,E10+
4284,VID_006541,Dreamcast Collection,2011,Misc,X360,Xbox 360,XBox (Microsoft),240000,53.0,52.0,T
4285,VID_006559,Dynasty Warriors 6 Empires,2009,Action,X360,Xbox 360,XBox (Microsoft),240000,59.0,73.0,T
4286,VID_006563,G.I. Joe: The Rise of Cobra,2009,Action,X360,Xbox 360,XBox (Microsoft),240000,42.0,47.0,T
4287,VID_006569,X-Men: Destiny,2011,Action,X360,Xbox 360,XBox (Microsoft),240000,47.0,50.0,T
4290,VID_006573,Pro Evolution Soccer 2014,2013,Action,X360,Xbox 360,XBox (Microsoft),240000,80.0,43.0,E
4292,VID_006582,Afro Samurai,2009,Action,X360,Xbox 360,XBox (Microsoft),240000,65.0,62.0,M
4293,VID_006586,Divinity II: Ego Draconis,2009,Role-Playing,X360,Xbox 360,XBox (Microsoft),240000,62.0,64.0,M
4294,VID_006611,Viva Pinata: Party Animals,2007,Misc,X360,Xbox 360,XBox (Microsoft),230000,56.0,62.0,E
4296,VID_006634,Virtua Tennis 4,2011,Sports,X360,Xbox 360,XBox (Microsoft),230000,70.0,62.0,E
4297,VID_006637,DiRT Showdown,2012,Racing,X360,Xbox 360,XBox (Microsoft),230000,75.0,64.0,E10+
4301,VID_006673,Dynasty Warriors: Strikeforce,2009,Action,X360,Xbox 360,XBox (Microsoft),230000,59.0,57.0,T
4302,VID_006743,AC/DC LIVE: Rock Band Track Pack,2008,Misc,X360,Xbox 360,XBox (Microsoft),230000,63.0,49.0,T
4305,VID_006761,F1 2014,2014,Racing,X360,Xbox 360,XBox (Microsoft),230000,64.0,41.0,E
4306,VID_006878,NCAA Basketball 09,2008,Sports,X360,Xbox 360,XBox (Microsoft),220000,70.0,56.0,E
4307,VID_006886,Ben 10 Alien Force: Vilgax Attacks,2009,Action,X360,Xbox 360,XBox (Microsoft),220000,61.0,83.0,E10+
4308,VID_006896,Tropico 3,2009,Strategy,X360,Xbox 360,XBox (Microsoft),220000,75.0,66.0,T
4309,VID_006899,Naruto Shippuden: Ultimate Ninja Storm Revolution,2014,Fighting,X360,Xbox 360,XBox (Microsoft),220000,62.0,73.0,T
4310,VID_006911,Hunted: The Demon's Forge,2011,Action,X360,Xbox 360,XBox (Microsoft),220000,61.0,60.0,M
4311,VID_006919,Full Auto,2006,Shooter,X360,Xbox 360,XBox (Microsoft),220000,70.0,78.0,T
4313,VID_006929,Over G Fighters,2006,Simulation,X360,Xbox 360,XBox (Microsoft),210000,49.0,60.0,T
4315,VID_006952,Armored Core V,2012,Simulation,X360,Xbox 360,XBox (Microsoft),210000,68.0,72.0,T
4316,VID_006954,College Hoops 2K7,2006,Sports,X360,Xbox 360,XBox (Microsoft),210000,82.0,82.0,E
4319,VID_006973,The Bureau: XCOM Declassified,2013,Shooter,X360,Xbox 360,XBox (Microsoft),210000,68.0,67.0,M
4320,VID_006980,Hannah Montana: The Movie,2009,Adventure,X360,Xbox 360,XBox (Microsoft),210000,25.0,38.0,E
4322,VID_006991,The BIGS 2,2009,Sports,X360,Xbox 360,XBox (Microsoft),210000,76.0,62.0,E10+
4323,VID_006994,50 Cent: Blood on the Sand,2009,Shooter,X360,Xbox 360,XBox (Microsoft),210000,71.0,64.0,M
4326,VID_007006,Bass Pro Shops: The Strike,2009,Sports,X360,Xbox 360,XBox (Microsoft),210000,63.0,58.0,E
4327,VID_007039,SBK Superbike World Championship,2008,Racing,X360,Xbox 360,XBox (Microsoft),210000,63.0,80.0,E10+
4328,VID_007054,Rayman Raving Rabbids,2007,Misc,X360,Xbox 360,XBox (Microsoft),210000,67.0,73.0,E
4329,VID_007059,Vampire Rain,2007,Action,X360,Xbox 360,XBox (Microsoft),210000,38.0,29.0,M
4330,VID_007068,Way of the Samurai 3,2009,Action,X360,Xbox 360,XBox (Microsoft),210000,55.0,68.0,M
4332,VID_007080,Prison Break: The Conspiracy,2010,Action,X360,Xbox 360,XBox (Microsoft),210000,40.0,47.0,T
4333,VID_007088,NCAA March Madness 07,2007,Sports,X360,Xbox 360,XBox (Microsoft),210000,67.0,71.0,E
4334,VID_007089,StokEd,2009,Sports,X360,Xbox 360,XBox (Microsoft),210000,68.0,86.0,T
4335,VID_007101,You Don't Know Jack,2011,Misc,X360,Xbox 360,XBox (Microsoft),210000,82.0,79.0,T
4336,VID_007115,Dead to Rights: Retribution,2010,Shooter,X360,Xbox 360,XBox (Microsoft),210000,61.0,70.0,M
4337,VID_007144,Sniper: Ghost Warrior 2,2013,Shooter,X360,Xbox 360,XBox (Microsoft),200000,52.0,57.0,M
4340,VID_007196,Dark Messiah of Might and Magic Elements,2008,Role-Playing,X360,Xbox 360,XBox (Microsoft),200000,52.0,70.0,M
4342,VID_007207,DarkStar One: Broken Alliance,2010,Simulation,X360,Xbox 360,XBox (Microsoft),200000,63.0,72.0,T
4343,VID_007213,Body and Brain Connection,2010,Misc,X360,Xbox 360,XBox (Microsoft),200000,57.0,48.0,E
4345,VID_007220,Monster Jam,2007,Racing,X360,Xbox 360,XBox (Microsoft),200000,43.0,64.0,E
4346,VID_007249,Front Mission Evolved,2010,Shooter,X360,Xbox 360,XBox (Microsoft),200000,58.0,61.0,T
4349,VID_007272,Zone of the Enders HD Collection,2012,Simulation,X360,Xbox 360,XBox (Microsoft),200000,75.0,88.0,M
4350,VID_007273,Record of Agarest War,2008,Role-Playing,X360,Xbox 360,XBox (Microsoft),200000,71.0,70.0,T
4351,VID_007286,Soldier of Fortune: Payback,2007,Shooter,X360,Xbox 360,XBox (Microsoft),200000,50.0,56.0,M
4352,VID_007299,Baja: Edge of Control,2008,Racing,X360,Xbox 360,XBox (Microsoft),200000,65.0,71.0,E
4353,VID_007318,Warriors Orochi,2007,Action,X360,Xbox 360,XBox (Microsoft),200000,53.0,74.0,T
4354,VID_007356,Conan,2007,Action,X360,Xbox 360,XBox (Microsoft),190000,69.0,73.0,M
4355,VID_007370,Dynasty Warriors: Gundam 2,2008,Action,X360,Xbox 360,XBox (Microsoft),190000,49.0,70.0,T
4356,VID_007379,DanceMasters,2010,Misc,X360,Xbox 360,XBox (Microsoft),190000,63.0,59.0,E10+
4357,VID_007391,Enchanted Arms,2006,Role-Playing,X360,Xbox 360,XBox (Microsoft),190000,69.0,69.0,T
4358,VID_007393,Conflict: Denied Ops,2008,Shooter,X360,Xbox 360,XBox (Microsoft),190000,52.0,49.0,M
4359,VID_007401,Final Fantasy XI,2006,Role-Playing,X360,Xbox 360,XBox (Microsoft),190000,66.0,65.0,T
4360,VID_007440,Majin and the Forsaken Kingdom,2010,Adventure,X360,Xbox 360,XBox (Microsoft),190000,74.0,81.0,T
4361,VID_007441,Silent Hill HD Collection,2012,Action,X360,Xbox 360,XBox (Microsoft),190000,69.0,56.0,M
4363,VID_007466,FaceBreaker,2008,Fighting,X360,Xbox 360,XBox (Microsoft),190000,54.0,63.0,T
4365,VID_007520,Risen,2009,Role-Playing,X360,Xbox 360,XBox (Microsoft),190000,60.0,64.0,M
4366,VID_007522,Dynasty Warriors Gundam,2007,Action,X360,Xbox 360,XBox (Microsoft),190000,55.0,68.0,T
4367,VID_007534,Binary Domain,2012,Action,X360,Xbox 360,XBox (Microsoft),190000,74.0,80.0,M
4368,VID_007564,Earth Defense Force: Insect Armageddon,2011,Shooter,X360,Xbox 360,XBox (Microsoft),190000,68.0,82.0,T
4369,VID_007574,NBA Ballers: Chosen One,2008,Sports,X360,Xbox 360,XBox (Microsoft),190000,55.0,42.0,E
4370,VID_007581,SBK X: Superbike World Championship,2010,Racing,X360,Xbox 360,XBox (Microsoft),190000,74.0,83.0,E10+
4371,VID_007586,Shadows of the Damned,2011,Action,X360,Xbox 360,XBox (Microsoft),190000,76.0,84.0,M
4374,VID_007658,Syndicate,2012,Shooter,X360,Xbox 360,XBox (Microsoft),180000,74.0,71.0,M
4375,VID_007659,Zumba Fitness Rush,2012,Sports,X360,Xbox 360,XBox (Microsoft),180000,73.0,62.0,E10+
4376,VID_007660,Call of Juarez,2007,Shooter,X360,Xbox 360,XBox (Microsoft),180000,71.0,69.0,M
4377,VID_007704,The Chronicles of Narnia: Prince Caspian,2008,Action,X360,Xbox 360,XBox (Microsoft),180000,56.0,75.0,T
4378,VID_007711,World of Outlaws: Sprint Cars,2010,Racing,X360,Xbox 360,XBox (Microsoft),180000,57.0,81.0,E
4379,VID_007713,Grand Slam Tennis 2,2012,Sports,X360,Xbox 360,XBox (Microsoft),180000,71.0,51.0,E
4380,VID_007714,Ben 10 Ultimate Alien: Cosmic Destruction,2010,Platform,X360,Xbox 360,XBox (Microsoft),180000,51.0,53.0,E10+
4381,VID_007715,Pure Futbol,2010,Sports,X360,Xbox 360,XBox (Microsoft),180000,38.0,79.0,E
4382,VID_007734,Remember Me,2013,Action,X360,Xbox 360,XBox (Microsoft),180000,70.0,75.0,M
4384,VID_007752,Splatterhouse,2010,Action,X360,Xbox 360,XBox (Microsoft),180000,62.0,76.0,M
4386,VID_007784,College Hoops 2K8,2007,Sports,X360,Xbox 360,XBox (Microsoft),180000,81.0,69.0,E
4387,VID_007789,Dynasty Warriors: Gundam 3,2010,Action,X360,Xbox 360,XBox (Microsoft),180000,65.0,78.0,T
4388,VID_007797,Velvet Assassin,2009,Shooter,X360,Xbox 360,XBox (Microsoft),180000,56.0,71.0,M
4390,VID_007834,Race Pro,2009,Racing,X360,Xbox 360,XBox (Microsoft),170000,72.0,70.0,E
4391,VID_007858,NHL 2K9,2008,Sports,X360,Xbox 360,XBox (Microsoft),170000,69.0,67.0,E10+
4393,VID_007872,X-Men: The Official Game,2006,Action,X360,Xbox 360,XBox (Microsoft),170000,52.0,61.0,T
4394,VID_007877,Hitman: HD Trilogy,2013,Action,X360,Xbox 360,XBox (Microsoft),170000,69.0,72.0,M
4395,VID_007902,Top Spin 2,2006,Sports,X360,Xbox 360,XBox (Microsoft),170000,75.0,68.0,E
4396,VID_007905,Captain America: Super Soldier,2011,Action,X360,Xbox 360,XBox (Microsoft),170000,60.0,64.0,T
4398,VID_007930,Bee Movie Game,2007,Action,X360,Xbox 360,XBox (Microsoft),170000,71.0,58.0,E
4400,VID_007951,MotoGP 09/10,2010,Racing,X360,Xbox 360,XBox (Microsoft),170000,69.0,57.0,E
4402,VID_007957,Monsters vs. Aliens,2009,Action,X360,Xbox 360,XBox (Microsoft),170000,63.0,66.0,E10+
4403,VID_007962,Anarchy Reigns,2012,Action,X360,Xbox 360,XBox (Microsoft),170000,73.0,79.0,M
4404,VID_007965,Fairytale Fights,2009,Action,X360,Xbox 360,XBox (Microsoft),170000,51.0,62.0,M
4406,VID_007984,Fuzion Frenzy 2,2007,Misc,X360,Xbox 360,XBox (Microsoft),170000,49.0,52.0,E10+
4407,VID_007990,CSI: Fatal Conspiracy,2010,Adventure,X360,Xbox 360,XBox (Microsoft),170000,42.0,48.0,M
4409,VID_007999,G-Force,2009,Action,X360,Xbox 360,XBox (Microsoft),170000,68.0,70.0,E10+
